"ID","Name","Main Media","Collections (All)","Collections (Name)"
"a44f98f3-e457-4573-a294-78b34ef9eba5","BOWLS","wix:image://v1/4956eff48aa9446f975ebf5ae13f2108.jpg/file.jpg#originWidth=1920&originHeight=1080","/collections/","/collections/BOWLS"
"ff49ede3-1694-4755-a8f9-a14cdcd58ef5","BROCHAS Y PINCELES","wix:image://v1/9c9dca_ea633bb215244291aedfd95fdd4f61ea~mv2.png/file.png#originWidth=2902&originHeight=1654","/collections/","/collections/BROCHAS-Y-PINCELES"
"1659d5d6-8a49-4d47-a590-738bd23beee3","CAJAS PARA BOCADITOS","wix:image://v1/6138ec_7efefe32e37c4e34aa85e8a01dc638f3~mv2.jpg/file.jpg#originWidth=446&originHeight=446","/collections/","/collections/CAJAS-PARA-BOCADITOS"
"11e0fe30-ddb8-4009-91b4-f0b098991753","CAJAS PARA CHOCOLATES","wix:image://v1/9c9dca_610b9ddbdff74c15991c82947b312cb3~mv2.jpg/file.jpg#originWidth=600&originHeight=600","/collections/","/collections/CAJAS-PARA-CHOCOLATES"
"ff009fd9-031c-4ca3-9b28-094c5cd7806d","CAJAS PARA CUPCAKES","wix:image://v1/6138ec_069077e4e32e4900a29c32b78403977a~mv2.jpeg/file.jpg#originWidth=500&originHeight=500","/collections/","/collections/CAJAS-PARA-CUPCAKES"
"bceef1c2-e24c-40a1-b2c0-6c22f54a6fbb","CAJAS PARA TORTA","wix:image://v1/6138ec_135068b33b6a4276bbf3983c3b45225b~mv2.jpeg/file.jpg#originWidth=800&originHeight=800","/collections/","/collections/CAJAS-PARA-TORTA"
"1688824d-7285-4925-85b8-3394b6d99e5a","CAJAS VARIAS","wix:image://v1/6138ec_3b27218eee404fec973522d70ce17034~mv2.jpg/file.jpg#originWidth=1759&originHeight=1754","/collections/","/collections/CAJAS-VARIAS"
"d296f2e8-debe-41b1-b5a8-9527972fa75a","CALICES","wix:image://v1/f87be6_ecb18d8fc80e49d39b4700c3c4c7fa53~mv2.jpg/file.jpg#originWidth=1072&originHeight=1500","/collections/","/collections/CALICES"
"b43c7f76-7437-44e3-a98a-a0c63ba181b4","CAPILLAS","wix:image://v1/6138ec_3fe591e9b25d45dd84683b86cf02ff7b~mv2.jpg/file.jpg#originWidth=768&originHeight=1024","/collections/","/collections/CAPILLAS"
"071d9bab-8c33-4bef-abf2-a9c409e934d4","CENEFA DECORATIVA","wix:image://v1/9c9dca_5f004afcfeb942dd80804fc347bd45b4~mv2.jpg/file.jpg#originWidth=1166&originHeight=1493","/collections/","/collections/CENEFA-DECORATIVA"
"45eb7623-0ab9-4c2f-bd06-fd2c42bb568d","CHOCOLATE Y COCOA","wix:image://v1/6138ec_ca051ce2ef40407facf6ebd4dd17a79f~mv2.jpg/file.jpg#originWidth=480&originHeight=360","/collections/","/collections/CHOCOLATE-Y-COCOA"
"51624da1-3cbb-3e91-304e-c158c6a7cd28","CHOPROM","wix:image://v1/614034_103e8f4ab0ae4536a38b319d3eb437ed~mv2.png/missing-media.png#originWidth=500&originHeight=500","/collections/","/collections/CHOPROM"
"835f9044-e7bb-400f-a907-76fd163e52a8","CINTAS Y LISTONES","wix:image://v1/9c9dca_bd4bb535d23b4dfbb200327d41a120a7~mv2.jpg/file.jpg#originWidth=2000&originHeight=2000","/collections/","/collections/CINTAS-Y-LISTONES"
"893cbace-3368-4528-b80c-01506edf7109","CLAVOS","wix:image://v1/9c9dca_ead647b755d441bdb0743243062da6e2~mv2.jpg/file.jpg#originWidth=260&originHeight=300","/collections/","/collections/CLAVOS"
