ID,Variant ID,Product ID,Variant Name,Product Name,Managed Variant,SKU,Stock,Choices,Media,Collections
8f840a88-f087-469e-95ed-67a9274f21e5-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,8f840a88-f087-469e-95ed-67a9274f21e5,GRAGEA BELLOTA 250 g,GRAGEA BELLOTA 250 g,FALSE,119157,"{""trackQuantity"":true,""quantity"":71,""inStock"":true}",{},wix:image://v1/6138ec_247e09a1a0f7435abbb46f4e4f41ed46~mv2.jpg/file.jpg#originWidth=3000&originHeight=2416,"[""44075c48-f3d1-4e43-a015-e5003a114457""]"
8f880c58-9da7-423c-8409-cafcb015b1fd-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,8f880c58-9da7-423c-8409-cafcb015b1fd,BROCHA DE SILICONA,BROCHA DE SILICONA,FALSE,200002,"{""trackQuantity"":true,""quantity"":0,""inStock"":false}",{},wix:image://v1/6138ec_c52cfbf7af0344d98851600ee41216ee~mv2.jpg/file.jpg#originWidth=900&originHeight=900,"[""ff49ede3-1694-4755-a8f9-a14cdcd58ef5""]"
8fcb5757-8a63-4da4-b00b-66c6a731cb15-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,8fcb5757-8a63-4da4-b00b-66c6a731cb15,GRAGEA MIKEY VERDE 1 KILO,GRAGEA MIKEY VERDE 1 KILO,FALSE,3870,"{""trackQuantity"":true,""quantity"":24,""inStock"":true}",{},wix:image://v1/6138ec_1af7ff403a53422e89ca8978504f9d73~mv2.jpeg/file.jpg#originWidth=960&originHeight=1280,"[""44075c48-f3d1-4e43-a015-e5003a114457""]"
8ff8abca-a0c4-4c77-b405-beac9a3ecaa4-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,8ff8abca-a0c4-4c77-b405-beac9a3ecaa4,CAJA TORTA GIGANTE 16 pulgadas,CAJA TORTA GIGANTE 16 pulgadas,FALSE,200533,"{""trackQuantity"":true,""quantity"":696,""inStock"":true}",{},wix:image://v1/9c9dca_8c9cf9ce96274b37ab9582e4a3b13e7f~mv2.jpg/file.jpg#originWidth=1949&originHeight=1949,"[""bceef1c2-e24c-40a1-b2c0-6c22f54a6fbb""]"
902006c7-8535-bc53-71e2-a3856db391cf-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,902006c7-8535-bc53-71e2-a3856db391cf,TABLA DE PICAR 29.5cm x 44cm,TABLA DE PICAR 29.5cm x 44cm,FALSE,7.86119E+12,"{""trackQuantity"":true,""quantity"":16,""inStock"":true}",{},wix:image://v1/614034_103e8f4ab0ae4536a38b319d3eb437ed~mv2.png/missing-media.png#originWidth=500&originHeight=500,[]
9028496e-88d8-4a9a-ab31-7d59ace1b6e6-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,9028496e-88d8-4a9a-ab31-7d59ace1b6e6,ACRILICO S 018,ACRILICO S 018,FALSE,7.50639E+12,"{""trackQuantity"":true,""quantity"":0,""inStock"":false}",{},wix:image://v1/614034_103e8f4ab0ae4536a38b319d3eb437ed~mv2.png/missing-media.png#originWidth=500&originHeight=500,"[""cd38491e-488e-4208-97dc-923472e909f8"",""5be7d7fa-d890-6aec-e6f5-c614a6a21d99""]"
9072651a-f840-4527-8f5c-ad58e3c2a133-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,9072651a-f840-4527-8f5c-ad58e3c2a133,LATA PANECILLO MARIPOSA,LATA PANECILLO MARIPOSA,FALSE,7.86103E+12,"{""trackQuantity"":true,""quantity"":9,""inStock"":true}",{},wix:image://v1/10c695_58a4251e324e427f8392c94b64461170~mv2.png/file.png#originWidth=215&originHeight=215,"[""6177eafa-f62f-4d36-86b5-a38f2d7096f7""]"
909dd4d0-1de5-4a72-95c3-2787036e5366-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,909dd4d0-1de5-4a72-95c3-2787036e5366,GOMA TRAGACANTO 20g,GOMA TRAGACANTO 20g,FALSE,58,"{""trackQuantity"":true,""quantity"":17,""inStock"":true}",{},wix:image://v1/6138ec_f68c14db723644538a6179aa475a45a8~mv2.jpeg/file.jpg#originWidth=659&originHeight=310,"[""9843efd9-b4f0-4f1a-9937-e800b9f066ea""]"
90b5fb8a-76c9-4aa2-b6f3-b8923376bc38-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,90b5fb8a-76c9-4aa2-b6f3-b8923376bc38,CORTADOR N. MIKEY Y MINY 2 UNIDADES,CORTADOR N. MIKEY Y MINY 2 UNIDADES,FALSE,1600935,"{""trackQuantity"":true,""quantity"":1,""inStock"":true}",{},wix:image://v1/6138ec_474754b57694457d872c1d3093544347~mv2.jpg/file.jpg#originWidth=900&originHeight=900,"[""0083cb0b-7906-4906-b4cc-2f5934f44312""]"
90ceedd3-9bf8-4210-9867-de927e0ed7d5-00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,90ceedd3-9bf8-4210-9867-de927e0ed7d5,BOQUILLA #826 GRANDE,BOQUILLA #826 GRANDE,FALSE,1000581,"{""trackQuantity"":true,""quantity"":-2,""inStock"":false}",{},wix:image://v1/6138ec_6cffc8b29296403f9c60aaf7ef3244e1~mv2.png/file.png#originWidth=900&originHeight=900,"[""03113bf5-02b8-4c76-b565-2c5d69bc92ee""]"
